,strain_name,strain_desc,strain_type,strain_percent_indica,strain_percent_sativa,strain_thc_percent,strain_flavors,strain_effects
41,Skywalker Kush,"Skywalker Kush, also known as “Skywalker OG Kush,” is an indica dominant hybrid (85% indica/15% sativa) strain created through crossing the powerful",Indica Dominant Hybrid,85% Indica,15% Sativa,21.5,Sweet Kush Spicy Herbal Pungent,Body High Relaxing Sleepy Body High Relaxing Sleepy
42,Sour OG,"The Sour OG marijuana strain is a hybrid and a cross between OG Kush, Blueberry and Sour Diesel with a 50:50 sativa/indica ratio that creates an impressive 17% THC level. Its buds are not only large, but are dense as well. Additionally, they are covered in trichomes. What is really amazing about the Sour OG is that it looks frosty and is covered by gleaming crystals. However, you have to keep in mind it has an average flower time of eight to nine weeks. Since it has a medium yield, it is grown using simple hydroponics. That being said, its taste is unlike anything you may have come across before. It is earthy with a hint of citrus and offers an amazing high within a matter of minutes. You will feel relaxed and peaceful all the while being in a good mood. Rest assured you will not have to worry about feeling drained out. You will feel productive and will be willing to get things done. You will remain in a positive state while feeling wonderful. Considering how quickly the high comes into effect, it lasts intensely for an hour and even more until it starts to wind down.",Hybrid,50% Indica,50% Sativa,15.0,Earthy Pungent Diesel Sour Lemon Pine,Creative Energizing Euphoria Giggly Happy Relaxing Sociable Uplifting Creative Energizing Euphoria Giggly Happy Relaxing Sociable Uplifting
43,Cookies,"Cookies, also known more commonly as “Girl Scout Cookies,” is an indica dominant hybrid (60% indica/40% sativa) strain created through a three-way cross of the potent",Indica Dominant Hybrid,60% Indica,40% Sativa,24.0,Vanilla Pungent Sweet Spicy Pine Cherry Lemon Mint Nutty,Cerebral Cerebral
44,Haze Wreck,Haze Wreck is a heavily sativa dominant (85% sativa/15% indica) hybrid strain created as a cross between the hugely popular,Sativa Dominant Hybrid,15% Indica,85% Sativa,22.5,Sweet Tropical Pine Fruity Skunky Cheesy Mint,Cerebral Creative Energizing Euphoria Focus Happy Cerebral Creative Energizing Euphoria Focus Happy
45,Purple Punch,"Purple Punch is a rare indica dominant hybrid (80% indica/20% sativa) strain created through crossing the classic Larry OG with the deliciously potent Grand Daddy Purps. With a one-two punch to the head of euphoric lifted effects and a super high 18-20% average THC level, you’ll feel the knockout high of Purple Punch almost immediately. You’ll feel a slam of euphoria followed by a heady lift that launches you into a state of pure happiness. As your mind creeps higher and higher, your body will begin to drift away into a relaxing state that is very sedative and heady, often leading to a long and peaceful sleep. In combination with its high THC level, these effects make Purple Punch perfect for killing the effects of insomnia, chronic stress, nausea, chronic pain, and depression. This bud has fluffy oversized bright neon green nugs with sparse red orange hairs and a coating of frosty tiny amber crystal trichomes. As you break apart each little nugget, aromas of earthy blueberries and grapes are released accented by a sweet herbal overtone. The flavor is very sweet with a vanilla blueberry taste that has a touch of slightly sour grape candy.",Indica Dominant Hybrid,80% Indica,20% Sativa,19.0,Earthy Sweet Blueberry Candy Grape Herbal Vanilla,Euphoria Happy Hungry Relaxing Sleepy Uplifting Euphoria Happy Hungry Relaxing Sleepy Uplifting
46,Black Triangle,Black Triangle is a rare 100% pure indica hybrid strain created through crossing the infamous,Indica,,,26.0,Earthy Sweet Pungent Spicy Dank Pine Vanilla,Body High Euphoria Relaxing Sleepy Uplifting Body High Euphoria Relaxing Sleepy Uplifting
47,sunset sherbert,"Sunset Sherbert, also known as “Gelato” and “Sunset Sherbet,” is an indica dominant hybrid (85% indica/15% sativa) strain created through crossing the delicious",Indica Dominant Hybrid,85% Indica,15% Sativa,14.5,Creamy Sweet Nutty Fruity,Happy Relaxing Happy Relaxing
48,Walker Kush,Walker Kush is an indica dominant hybrid (70% indica/30% sativa) strain create through crossing the classic,Indica Dominant Hybrid,70% Indica,30% Sativa,16.5,Earthy Sweet Citrus Kush Spicy Herbal Buttery Lemon Honey Cheesy Pine Woody Tangy,Cerebral Euphoria Focus Happy Relaxing Sleepy Cerebral Euphoria Focus Happy Relaxing Sleepy
49,Flo,"Flo is the distinctive variation of a hybrid strain of medical marijuana. This has been rated #1 in the 'Cannabis Cup' of the year 1996. This strain was created by crossing Purple Thai with Afghani Indica. This medical marijuana strain got its nickname for its remarkable ability to harvest numerous times. Also, this strain is considered to be one among the high yielding plants. The sativa/indica ratio of this strain is found to be 60:40. The THC levels of this strain have been calculated up to 14%, while the CBD is 0.26%. This strain appears to be pear-shaped with a huge number of purple-colored calyxes. The aroma produced by this strain will be sweet and sour like that is being produced from a lemon. This would taste light as well as lemony without any souring and the flavor would be more or less like a lemon drop. This has been found to be an effective alternative therapy for the conditions like pain, anxiety disorders, stress disorders, muscle spasms, loss of appetite and insomnia. This does not mean that the strain can be effective in treating the aforementioned conditions only. The effects of Flo are indicated as mild and energetic.",Sativa Dominant Hybrid,40% Indica,60% Sativa,15.5,Earthy Citrus Sweet Grape Menthol Spicy Fruity Pine,Energizing Euphoria Happy Energizing Euphoria Happy
50,Durban Poison,"Expect a major blow to the head from this super-potent strain. A pure sativa, Durban Poison is the beloved inbred descendant of a sativa strain grown in South Africa. Ed Rosenthal, an American cannabis activist, discovered the original strain and brought in back to the United States in the 1970s. It has long been a favorite of stoners and medical marijuana patients here. Durban Poison has THC levels that can reach 24%, making it one of the world's more powerful strains. This strain hits with a strong, happy head high that's great for creativity and daytime errands. Paranoia may be a possible side effect, along with dry mouth. Durban Poison is an effective treatment for depression and anxiety, as well as chronic pain, and it can also be helpful with nausea. This strain is ideal for making concentrates, as the bud is covered in over-sized trichomes. The dominant smell and taste of Durban Poison is earthy and sweet, with a subtle pine aroma. The buds are round and chunky, with a dense coating of trichomes. This strain is best for active periods, chores, and other daylight activities.",Sativa,,,24.0,Earthy Citrus Sweet Pungent Spicy Herbal Pine,Creative Energizing Euphoria Focus Happy Creative Energizing Euphoria Focus Happy
51,Cannatonic,"This strain is an even blend of sativa and indica (50:50 sativa/indica ratio). It's a great medical strain high in CBD, a chemical used to treat severe seizures and other conditions. But it's very low in THC 7–15% at most – so Cannatonic isn't a good bet for getting high, despite its name. The high, such as it is, is relaxed and uplifting with both mental and physical qualities. Cannatonic has an earthy smell, with a woody citrus flavor. It's most popular in the Pacific Northwest, California, and Michigan. This strain is best for treating epilepsy and pain, as it provides a deep feeling of relaxation with uplifting cerebral effects. Cannatonic is a hybrid blend of MK Ultra, an indica, and the legendary G-13 Haze, an indica-dominant hybrid. The strain was bred to produce a greater ratio of sativa to indica, and that helps keep the head high clear. Possible side effects include dry mouth, while anxiety and paranoia are less likely.",Hybrid,50% Indica,50% Sativa,11.0,Earthy Citrus Sweet Sour Pine Woody Tangy,Energizing Euphoria Focus Happy Relaxing Energizing Euphoria Focus Happy Relaxing
52,Tutankhamon,"Tutankhamen, or “King Tut” for short, is a sativa dominant hybrid (80% sativa/20% indica) strain created as a descendant of the infamous AK-47 strain. Like you definitely guessed, Tutankhamen is named for the King Tut, but what you probably didn’t’ know is that this bud is one of the most powerful in existence – it consistently has been tested at having a THC level of up to 29%. Tutankhamen has a sweet fruity taste of citrus and earth with a slightly skunky aftertaste that becomes pungent upon exhale. The aroma is surprisingly delicate, with a rich floral earthy smell that has only a hint of sweetness to it. Tutankhamen buds have large oversized Christmas-tree shaped forest green nugs with dark olive green leaves, thick purple hairs, and a super sticky layer of visible sweet resin. The Tutankhamen high is characterized by a stoney introspective cerebral state. You’ll be hit with an immediate onset of a cerebral head rush that numbs the mind and leaves you hazy and distant. A numbing body high will slowly overtake you, leaving you completely relaxed and helplessly couch-locked with a deep sense of spacey introspection. These effects and its insanely high THC level make Tutankhamen perfect for treating chronic pain, mild to moderate cases of depression, chronic stress or anxiety, and chronic fatigue.",Sativa Dominant Hybrid,20% Indica,80% Sativa,28.0,Earthy Citrus Sweet Floral Fruity Lemon Skunky Pungent,Body High Energizing Euphoria Focus Happy Body High Energizing Euphoria Focus Happy
